STARTTRAVELDATE,STARTREGION,ENDREGION,NUMVISITS
2016-03-01 05:00:00,WOODLANDS_0,OUTRAM_0,3
2016-03-01 05:00:00,WOODLANDS_0,PASIR RIS_1,1
2016-03-01 05:00:00,WOODLANDS_0,PIONEER_0,7
2016-03-01 05:00:00,WOODLANDS_0,QUEENSTOWN_0,8
2016-03-01 05:00:00,WOODLANDS_0,ROCHOR_0,1
2016-03-01 05:00:00,WOODLANDS_0,SEMBAWANG_0,3
2016-03-01 05:00:00,WOODLANDS_0,SERANGOON_0,1
2016-03-01 05:00:00,WOODLANDS_0,SINGAPORE RIVER_0,2
2016-03-01 05:00:00,WOODLANDS_0,TOA PAYOH_0,10
2016-03-01 05:00:00,WOODLANDS_0,WOODLANDS_0,7
